성분코드,성분명,함량,단일복합,주성분코드,제형코드,투여경로,투여경로명,제형명칭,동일 제형군,함량수치,함량단위
211601BIJ,pheniramine maleate,45.5mg,단일,211601BIJ,IJ,B,주사제,주사제,-,45.5,mg
211801BIJ,phenobarbital sodium,100mg,단일,211801BIJ,IJ,B,주사제,주사제,-,100.0,mg
211901BIJ,phenylephrine HCl,10mg,단일,211901BIJ,IJ,B,주사제,주사제,-,10.0,mg
212901BIJ,pipecuronium bromide,4mg,단일,212901BIJ,IJ,B,주사제,주사제,-,4.0,mg
213101BIJ,piperacillin sodium,1g,단일,213101BIJ,IJ,B,주사제,주사제,-,1.0,g
213102BIJ,piperacillin sodium,2g,단일,213102BIJ,IJ,B,주사제,주사제,-,2.0,g
213103BIJ,piperacillin sodium,3g,단일,213103BIJ,IJ,B,주사제,주사제,-,3.0,g
213104BIJ,piperacillin sodium,4g,단일,213104BIJ,IJ,B,주사제,주사제,-,4.0,g
213301BIJ,piprinhydrinate,3mg,단일,213301BIJ,IJ,B,주사제,주사제,-,3.0,mg
213402BIJ,piracetam,12g,단일,213402BIJ,IJ,B,주사제,주사제,-,12.0,g
213404BIJ,piracetam,1g,단일,213404BIJ,IJ,B,주사제,주사제,-,1.0,g
213406BIJ,piracetam,3g,단일,213406BIJ,IJ,B,주사제,주사제,-,3.0,g
213501BIJ,pirarubicin,10mg,단일,213501BIJ,IJ,B,주사제,주사제,-,10.0,mg
213502BIJ,pirarubicin,20mg,단일,213502BIJ,IJ,B,주사제,주사제,-,20.0,mg
214002BIJ,piroxicam,20mg,단일,214002BIJ,IJ,B,주사제,주사제,-,20.0,mg
214101BIJ,piroxicam potassium,22.3mg,단일,214101BIJ,IJ,B,주사제,주사제,-,22.3,mg
214102BIJ,piroxicam potassium,34.45mg,단일,214102BIJ,IJ,B,주사제,주사제,-,34.45,mg
214501BIJ,placenta hydrolysate,2ml,단일,214501BIJ,IJ,B,주사제,주사제,-,2.0,ml
215601BIJ,porcrine insulin,1000단위,단일,215601BIJ,IJ,B,주사제,주사제,-,1000.0,단위
215602BIJ,porcrine insulin,400단위,단일,215602BIJ,IJ,B,주사제,주사제,-,400.0,단위
215701BIJ,pork insulin,1000i.u,단일,215701BIJ,IJ,B,주사제,주사제,-,1000.0,iu
215802BIJ,potassium chloride,3g/100ml,단일,215802BIJ,IJ,B,주사제,주사제,-,3100.0,g/ml
216001BIJ,potassium phosphate monobasic,136.1mg,단일,216001BIJ,IJ,B,주사제,주사제,-,136.1,mg
216002BIJ,potassium phosphate monobasic,204.15mg,단일,216002BIJ,IJ,B,주사제,주사제,-,204.15,mg
216003BIJ,potassium phosphate monobasic,2041.5mg/ml,단일,216003BIJ,IJ,B,주사제,주사제,-,2041.5,mg/ml
216004BIJ,potassium phosphate monobasic,680.5mg/ml,단일,216004BIJ,IJ,B,주사제,주사제,-,680.5,mg/ml
216301BIJ,pralidoxime HCl,500mg,단일,216301BIJ,IJ,B,주사제,주사제,-,500.0,mg
217101BIJ,prednisolone acetate,110mg,단일,217101BIJ,IJ,B,주사제,주사제,-,110.0,mg
217301BIJ,prednisolone sodium succinate,1g,단일,217301BIJ,IJ,B,주사제,주사제,-,1.0,g
217302BIJ,prednisolone sodium succinate,250mg,단일,217302BIJ,IJ,B,주사제,주사제,-,250.0,mg
217601BIJ,pridinol mesylate,2mg,단일,217601BIJ,IJ,B,주사제,주사제,-,2.0,mg
218201BIJ,procaine HCl,20mg,단일,218201BIJ,IJ,B,주사제,주사제,-,20.0,mg
218501BIJ,progesterone,500mg,단일,218501BIJ,IJ,B,주사제,주사제,-,500.0,mg
219401BIJ,propacetamol HCl,1g,단일,219401BIJ,IJ,B,주사제,주사제,-,1.0,g
219801BIJ,propofol,1000mg,단일,219801BIJ,IJ,B,주사제,주사제,-,1000.0,mg
219802BIJ,propofol,120mg,단일,219802BIJ,IJ,B,주사제,주사제,-,120.0,mg
219803BIJ,propofol,200mg,단일,219803BIJ,IJ,B,주사제,주사제,-,200.0,mg
219804BIJ,propofol,500mg,단일,219804BIJ,IJ,B,주사제,주사제,-,500.0,mg
219902BIJ,propranolol HCl,1mg,단일,219902BIJ,IJ,B,주사제,주사제,-,1.0,mg
220301BIJ,protamine sulfate,50mg,단일,220301BIJ,IJ,B,주사제,주사제,-,50.0,mg
220501BIJ,protirelin,200mcg,단일,220501BIJ,IJ,B,주사제,주사제,-,200.0,mcg
220601BIJ,protirelin tartrate,1mg,단일,220601BIJ,IJ,B,주사제,주사제,-,1.0,mg
220602BIJ,protirelin tartrate,2mg,단일,220602BIJ,IJ,B,주사제,주사제,-,2.0,mg
220603BIJ,protirelin tartrate,500mcg,단일,220603BIJ,IJ,B,주사제,주사제,-,500.0,mcg
221402BIJ,pyridostigmine bromide,5mg,단일,221402BIJ,IJ,B,주사제,주사제,-,5.0,mg
221501BIJ,pyridoxal phosphate,30mg,단일,221501BIJ,IJ,B,주사제,주사제,-,30.0,mg
222301BIJ,raltitrexed,2mg,단일,222301BIJ,IJ,B,주사제,주사제,-,2.0,mg
222501BIJ,ramosetron,0.3mg,단일,222501BIJ,IJ,B,주사제,주사제,-,0.3,mg
222802BIJ,ranitidine HCl,100mg,단일,222802BIJ,IJ,B,주사제,주사제,-,100.0,mg
222804BIJ,ranitidine HCl,50mg,단일,222804BIJ,IJ,B,주사제,주사제,-,50.0,mg
223001BIJ,redistilled turpentine oil oxidation products,10mg,단일,223001BIJ,IJ,B,주사제,주사제,-,10.0,mg
223102BIJ,reserpine,1mg,단일,223102BIJ,IJ,B,주사제,주사제,-,1.0,mg
223501BIJ,RH-tissue-type plasminogen activator,20mg,단일,223501BIJ,IJ,B,주사제,주사제,-,20.0,mg
223502BIJ,RH-tissue-type plasminogen activator,50mg,단일,223502BIJ,IJ,B,주사제,주사제,-,50.0,mg
223801BIJ,ribostamycin sulfate,1g,단일,223801BIJ,IJ,B,주사제,주사제,-,1.0,g
223802BIJ,ribostamycin sulfate,500mg,단일,223802BIJ,IJ,B,주사제,주사제,-,500.0,mg
224302BIJ,ritodrine HCl,50mg,단일,224302BIJ,IJ,B,주사제,주사제,-,50.0,mg
224602BIJ,rociverine citrate,31.316mg,단일,224602BIJ,IJ,B,주사제,주사제,-,31.316,mg
224701BIJ,rocuronium bromide,25mg,단일,224701BIJ,IJ,B,주사제,주사제,-,25.0,mg
224702BIJ,rocuronium bromide,50mg,단일,224702BIJ,IJ,B,주사제,주사제,-,50.0,mg
225001BIJ,ropivacaine,150mg,단일,225001BIJ,IJ,B,주사제,주사제,-,150.0,mg
225002BIJ,ropivacaine,200mg,단일,225002BIJ,IJ,B,주사제,주사제,-,200.0,mg
225003BIJ,ropivacaine,40mg,단일,225003BIJ,IJ,B,주사제,주사제,-,40.0,mg
225101BIJ,roxatidine acetate,75mg,단일,225101BIJ,IJ,B,주사제,주사제,-,75.0,mg
225701BIJ,salcatonin,100i.u,단일,225701BIJ,IJ,B,주사제,주사제,-,100.0,iu
225703BIJ,salcatonin,50i.u,단일,225703BIJ,IJ,B,주사제,주사제,-,50.0,iu
227101BIJ,"serum albumin, human",20g/100ml,단일,227101BIJ,IJ,B,주사제,주사제,-,20100.0,g/ml
227102BIJ,"serum albumin, human",5g/100ml,단일,227102BIJ,IJ,B,주사제,주사제,-,5100.0,g/ml
227901BIJ,sisomicin sulfate,100mg,단일,227901BIJ,IJ,B,주사제,주사제,-,100.0,mg
227902BIJ,sisomicin sulfate,50mg,단일,227902BIJ,IJ,B,주사제,주사제,-,50.0,mg
227903BIJ,sisomicin sulfate,75mg,단일,227903BIJ,IJ,B,주사제,주사제,-,75.0,mg
228101BIJ,sizofiran,20mg,단일,228101BIJ,IJ,B,주사제,주사제,-,20.0,mg
228401BIJ,sodium aurothiomalate,25mg,단일,228401BIJ,IJ,B,주사제,주사제,-,25.0,mg
228502BIJ,sodium bicarbonate,1.68g,단일,228502BIJ,IJ,B,주사제,주사제,-,1.68,g
228701BIJ,sodium chloride,15g,단일,228701BIJ,IJ,B,주사제,주사제,-,15.0,g
228703BIJ,sodium chloride,2.34g,단일,228703BIJ,IJ,B,주사제,주사제,-,2.34,g
228706BIJ,sodium chloride,30g,단일,228706BIJ,IJ,B,주사제,주사제,-,30.0,g
228707BIJ,sodium chloride,450mg/100ml,단일,228707BIJ,IJ,B,주사제,주사제,-,450100.0,mg/ml
228708BIJ,sodium chloride,900mg/100ml,단일,228708BIJ,IJ,B,주사제,주사제,-,900100.0,mg/ml
229201BIJ,sodium hyaluronate,25mg,단일,229201BIJ,IJ,B,주사제,주사제,-,25.0,mg
229301BIJ,sodium nitroprusside,50mg,단일,229301BIJ,IJ,B,주사제,주사제,-,50.0,mg
229702BIJ,sodium valproate,300mg,단일,229702BIJ,IJ,B,주사제,주사제,-,300.0,mg
229704BIJ,sodium valproate,400mg,단일,229704BIJ,IJ,B,주사제,주사제,-,400.0,mg
230101BIJ,somatorelin acetate,66.7mcg,단일,230101BIJ,IJ,B,주사제,주사제,-,66.7,mcg
230201BIJ,somatostatin,250mcg,단일,230201BIJ,IJ,B,주사제,주사제,-,250.0,mcg
230202BIJ,somatostatin,3mg,단일,230202BIJ,IJ,B,주사제,주사제,-,3.0,mg
230301BIJ,sorbitol,5g/100ml,단일,230301BIJ,IJ,B,주사제,주사제,-,5100.0,g/ml
230402BIJ,sotalol HCl,40mg,단일,230402BIJ,IJ,B,주사제,주사제,-,40.0,mg
230501BIJ,soybean oil,10g/100ml,단일,230501BIJ,IJ,B,주사제,주사제,-,10100.0,g/ml
230502BIJ,soybean oil,20g/100ml,단일,230502BIJ,IJ,B,주사제,주사제,-,20100.0,g/ml
230801BIJ,spectinomycin HCl,2g,단일,230801BIJ,IJ,B,주사제,주사제,-,2.0,g
230802BIJ,spectinomycin HCl,4g,단일,230802BIJ,IJ,B,주사제,주사제,-,4.0,g
231201BIJ,spleen hydrolysate,2ml,단일,231201BIJ,IJ,B,주사제,주사제,-,2.0,ml
231901BIJ,streptococcus pyogenese,14mg,단일,231901BIJ,IJ,B,주사제,주사제,-,14.0,mg
231902BIJ,streptococcus pyogenese,2.8mg,단일,231902BIJ,IJ,B,주사제,주사제,-,2.8,mg
232001BIJ,streptokinase,150만i.u,단일,232001BIJ,IJ,B,주사제,주사제,-,150.0,만iu
232002BIJ,streptokinase,25만i.u,단일,232002BIJ,IJ,B,주사제,주사제,-,25.0,만iu
232003BIJ,streptokinase,75만i.u,단일,232003BIJ,IJ,B,주사제,주사제,-,75.0,만iu
232101BIJ,streptomycin sulfate,1g,단일,232101BIJ,IJ,B,주사제,주사제,-,1.0,g
232201BIJ,succinylcholine chloride,200mg,단일,232201BIJ,IJ,B,주사제,주사제,-,200.0,mg
232202BIJ,succinylcholine chloride,500mg,단일,232202BIJ,IJ,B,주사제,주사제,-,500.0,mg
232501BIJ,sufentanil citrate,150mcg,단일,232501BIJ,IJ,B,주사제,주사제,-,150.0,mcg
232502BIJ,sufentanil citrate,375mcg,단일,232502BIJ,IJ,B,주사제,주사제,-,375.0,mcg
232503BIJ,sufentanil citrate,75mcg,단일,232503BIJ,IJ,B,주사제,주사제,-,75.0,mcg
232601BIJ,sulbenicillin sodium,1g,단일,232601BIJ,IJ,B,주사제,주사제,-,1.0,g
232602BIJ,sulbenicillin sodium,2g,단일,232602BIJ,IJ,B,주사제,주사제,-,2.0,g
232701BIJ,sulfadimethoxine,200mg,단일,232701BIJ,IJ,B,주사제,주사제,-,200.0,mg
232702BIJ,sulfadimethoxine,500mg,단일,232702BIJ,IJ,B,주사제,주사제,-,500.0,mg
233302BIJ,sulodexide,300단위,단일,233302BIJ,IJ,B,주사제,주사제,-,300.0,단위
233501BIJ,sulprostone,500mcg,단일,233501BIJ,IJ,B,주사제,주사제,-,500.0,mcg
233602BIJ,sulpyrin,1g,단일,233602BIJ,IJ,B,주사제,주사제,-,1.0,g
233603BIJ,sulpyrin,500mg,단일,233603BIJ,IJ,B,주사제,주사제,-,500.0,mg
234001BIJ,suxamethonim chloride,1000mg,단일,234001BIJ,IJ,B,주사제,주사제,-,1000.0,mg
234002BIJ,suxamethonim chloride,200mg,단일,234002BIJ,IJ,B,주사제,주사제,-,200.0,mg
234003BIJ,suxamethonim chloride,500mg,단일,234003BIJ,IJ,B,주사제,주사제,-,500.0,mg
234202BIJ,tacrolimus,5mg,단일,234202BIJ,IJ,B,주사제,주사제,-,5.0,mg
234701BIJ,taurolidine,2g/100ml,단일,234701BIJ,IJ,B,주사제,주사제,-,2100.0,g/ml
234802BIJ,tegafur,400mg,단일,234802BIJ,IJ,B,주사제,주사제,-,400.0,mg
234901BIJ,teicoplanin,200mg,단일,234901BIJ,IJ,B,주사제,주사제,-,200.0,mg
235201BIJ,teniposide,50mg,단일,235201BIJ,IJ,B,주사제,주사제,-,50.0,mg
235302BIJ,tenoxicam,20mg,단일,235302BIJ,IJ,B,주사제,주사제,-,20.0,mg
235802BIJ,terbutaline sulfate,500mcg,단일,235802BIJ,IJ,B,주사제,주사제,-,500.0,mcg
236001BIJ,terlipressin acetate,1mg,단일,236001BIJ,IJ,B,주사제,주사제,-,1.0,mg
236101BIJ,testosterone cyclopentylpropionate,250mg,단일,236101BIJ,IJ,B,주사제,주사제,-,250.0,mg
236103BIJ,testosterone cyclopentylpropionate,500mg,단일,236103BIJ,IJ,B,주사제,주사제,-,500.0,mg
236201BIJ,testosterone enanthate,250mg,단일,236201BIJ,IJ,B,주사제,주사제,-,250.0,mg
236401BIJ,tetanus antitoxin,2000i.u,단일,236401BIJ,IJ,B,주사제,주사제,-,2000.0,iu
236501BIJ,tetracaine HCl,20mg,단일,236501BIJ,IJ,B,주사제,주사제,-,20.0,mg
237302BIJ,thiamine HCl,50mg,단일,237302BIJ,IJ,B,주사제,주사제,-,50.0,mg
237501BIJ,thiamphenicol glycinate,1g,단일,237501BIJ,IJ,B,주사제,주사제,-,1.0,g
237502BIJ,thiamphenicol glycinate,500mg,단일,237502BIJ,IJ,B,주사제,주사제,-,500.0,mg
237601BIJ,thiamylal sodium,533mg,단일,237601BIJ,IJ,B,주사제,주사제,-,533.0,mg
237701BIJ,thiocolchicoside,4mg,단일,237701BIJ,IJ,B,주사제,주사제,-,4.0,mg
237801BIJ,thiocticacid tromethamine,952.8mg,단일,237801BIJ,IJ,B,주사제,주사제,-,952.8,mg
238201BIJ,thrombin,5000u,단일,238201BIJ,IJ,B,주사제,주사제,-,5000.0,u
238301BIJ,thromboplastin,50mg,단일,238301BIJ,IJ,B,주사제,주사제,-,50.0,mg
238501BIJ,thymopentin,50mg,단일,238501BIJ,IJ,B,주사제,주사제,-,50.0,mg
238601BIJ,thymopentin acetate dihydrate,50mg,단일,238601BIJ,IJ,B,주사제,주사제,-,50.0,mg
238801BIJ,tiapride HCl,100mg,단일,238801BIJ,IJ,B,주사제,주사제,-,100.0,mg
238901BIJ,tiaprofenic acid,200mg,단일,238901BIJ,IJ,B,주사제,주사제,-,200.0,mg
239101BIJ,ticarcillin sodium,1g,단일,239101BIJ,IJ,B,주사제,주사제,-,1.0,g
239302BIJ,tiemonium iodide,5mg,단일,239302BIJ,IJ,B,주사제,주사제,-,5.0,mg
239502BIJ,timepidium bromide,7.5mg,단일,239502BIJ,IJ,B,주사제,주사제,-,7.5,mg
240201BIJ,tirofiban hydrochloride monohydrate,12.5mg,단일,240201BIJ,IJ,B,주사제,주사제,-,12.5,mg
240302BIJ,tiropramide HCl,50mg,단일,240302BIJ,IJ,B,주사제,주사제,-,50.0,mg
240401BIJ,"tissue ext., specific",60mg,단일,240401BIJ,IJ,B,주사제,주사제,-,60.0,mg
240901BIJ,tobramycin sulfate,100mg,단일,240901BIJ,IJ,B,주사제,주사제,-,100.0,mg
240903BIJ,tobramycin sulfate,150mg,단일,240903BIJ,IJ,B,주사제,주사제,-,150.0,mg
240904BIJ,tobramycin sulfate,160mg,단일,240904BIJ,IJ,B,주사제,주사제,-,160.0,mg
240905BIJ,tobramycin sulfate,320mg,단일,240905BIJ,IJ,B,주사제,주사제,-,320.0,mg
240906BIJ,tobramycin sulfate,60mg,단일,240906BIJ,IJ,B,주사제,주사제,-,60.0,mg
240907BIJ,tobramycin sulfate,80mg,단일,240907BIJ,IJ,B,주사제,주사제,-,80.0,mg
240908BIJ,tobramycin sulfate,90mg,단일,240908BIJ,IJ,B,주사제,주사제,-,90.0,mg
241401BIJ,tolazoline HCl,10mg,단일,241401BIJ,IJ,B,주사제,주사제,-,10.0,mg
241701BIJ,tolperisone HCl,100mg,단일,241701BIJ,IJ,B,주사제,주사제,-,100.0,mg
241901BIJ,topotecam HCl,4.49mg,단일,241901BIJ,IJ,B,주사제,주사제,-,4.49,mg
242301BIJ,tramadol HCl,100mg,단일,242301BIJ,IJ,B,주사제,주사제,-,100.0,mg
242302BIJ,tramadol HCl,150mg,단일,242302BIJ,IJ,B,주사제,주사제,-,150.0,mg
242303BIJ,tramadol HCl,50mg,단일,242303BIJ,IJ,B,주사제,주사제,-,50.0,mg
242502BIJ,tranexamic acid,1g,단일,242502BIJ,IJ,B,주사제,주사제,-,1.0,g
242503BIJ,tranexamic acid,250mg,단일,242503BIJ,IJ,B,주사제,주사제,-,250.0,mg
242504BIJ,tranexamic acid,500mg,단일,242504BIJ,IJ,B,주사제,주사제,-,500.0,mg
242801BIJ,trastuzumab,440mg,단일,242801BIJ,IJ,B,주사제,주사제,-,440.0,mg
243301BIJ,triamcinolone acetonide,200mg,단일,243301BIJ,IJ,B,주사제,주사제,-,200.0,mg
243303BIJ,triamcinolone acetonide,40mg,단일,243303BIJ,IJ,B,주사제,주사제,-,40.0,mg
243305BIJ,triamcinolone acetonide,50mg,단일,243305BIJ,IJ,B,주사제,주사제,-,50.0,mg
243901BIJ,triflupromazine HCl,10mg,단일,243901BIJ,IJ,B,주사제,주사제,-,10.0,mg
244901BIJ,triptorelin acetate,105mcg,단일,244901BIJ,IJ,B,주사제,주사제,-,105.0,mcg
244902BIJ,triptorelin acetate,4.12mg,단일,244902BIJ,IJ,B,주사제,주사제,-,4.12,mg
245201BIJ,trometamol tiaprofenate,293mg,단일,245201BIJ,IJ,B,주사제,주사제,-,293.0,mg
245402BIJ,tropisetron,2mg,단일,245402BIJ,IJ,B,주사제,주사제,-,2.0,mg
245403BIJ,tropisetron,5mg,단일,245403BIJ,IJ,B,주사제,주사제,-,5.0,mg
245902BIJ,urapidil HCl,27.35mg,단일,245902BIJ,IJ,B,주사제,주사제,-,27.35,mg
246001BIJ,urazamide,200mg,단일,246001BIJ,IJ,B,주사제,주사제,-,200.0,mg
246201BIJ,urofollitrophin,150i.u,단일,246201BIJ,IJ,B,주사제,주사제,-,150.0,iu
246202BIJ,urofollitrophin,75i.u,단일,246202BIJ,IJ,B,주사제,주사제,-,75.0,iu
246401BIJ,urokinase,100ki.u,단일,246401BIJ,IJ,B,주사제,주사제,-,100.0,kiu
246402BIJ,urokinase,120i.u,단일,246402BIJ,IJ,B,주사제,주사제,-,120.0,iu
246403BIJ,urokinase,12만iu,단일,246403BIJ,IJ,B,주사제,주사제,-,12.0,만iu
246404BIJ,urokinase,25만i.u,단일,246404BIJ,IJ,B,주사제,주사제,-,25.0,만iu
246405BIJ,urokinase,2만ki.u,단일,246405BIJ,IJ,B,주사제,주사제,-,2.0,만kiu
246406BIJ,urokinase,50만i.u,단일,246406BIJ,IJ,B,주사제,주사제,-,50.0,만iu
246407BIJ,urokinase,50ki.u,단일,246407BIJ,IJ,B,주사제,주사제,-,50.0,kiu
247201BIJ,vancomycin HCl,125mg,단일,247201BIJ,IJ,B,주사제,주사제,-,125.0,mg
247203BIJ,vancomycin HCl,1g,단일,247203BIJ,IJ,B,주사제,주사제,-,1.0,g
247204BIJ,vancomycin HCl,250mg,단일,247204BIJ,IJ,B,주사제,주사제,-,250.0,mg
247205BIJ,vancomycin HCl,500mg,단일,247205BIJ,IJ,B,주사제,주사제,-,500.0,mg
247301BIJ,vasopressin-8-lysine,20u,단일,247301BIJ,IJ,B,주사제,주사제,-,20.0,u
247401BIJ,vecuronium bromide,10mg,단일,247401BIJ,IJ,B,주사제,주사제,-,10.0,mg
247402BIJ,vecuronium bromide,4mg,단일,247402BIJ,IJ,B,주사제,주사제,-,4.0,mg
247602BIJ,verapamil HCl,2.5mg,단일,247602BIJ,IJ,B,주사제,주사제,-,2.5,mg
247604BIJ,verapamil HCl,5mg,단일,247604BIJ,IJ,B,주사제,주사제,-,5.0,mg
247801BIJ,vinblastin sulfate,10mg,단일,247801BIJ,IJ,B,주사제,주사제,-,10.0,mg
247901BIJ,vincamine,15mg,단일,247901BIJ,IJ,B,주사제,주사제,-,15.0,mg
248001BIJ,vincristin sulfate,1mg,단일,248001BIJ,IJ,B,주사제,주사제,-,1.0,mg
248002BIJ,vincristin sulfate,5mg,단일,248002BIJ,IJ,B,주사제,주사제,-,5.0,mg
248101BIJ,vincristine sulfate,2mg,단일,248101BIJ,IJ,B,주사제,주사제,-,2.0,mg
248201BIJ,vinorelbine,10mg,단일,248201BIJ,IJ,B,주사제,주사제,-,10.0,mg
248202BIJ,vinorelbine,50mg,단일,248202BIJ,IJ,B,주사제,주사제,-,50.0,mg
248302BIJ,vinpocetine,10mg,단일,248302BIJ,IJ,B,주사제,주사제,-,10.0,mg
248501BIJ,viscum album(abietis),100mg(2ml),단일,248501BIJ,IJ,B,주사제,주사제,-,1002.0,mg(ml)
248502BIJ,viscum album(abietis),10mg(1ml),단일,248502BIJ,IJ,B,주사제,주사제,-,101.0,mg(ml)
248503BIJ,viscum album(abietis),1mg(1ml),단일,248503BIJ,IJ,B,주사제,주사제,-,11.0,mg(ml)
248504BIJ,viscum album(abietis),200mcg(1ml),단일,248504BIJ,IJ,B,주사제,주사제,-,2001.0,mcg(ml)
248505BIJ,viscum album(abietis),20mcg(1ml),단일,248505BIJ,IJ,B,주사제,주사제,-,201.0,mcg(ml)
248506BIJ,viscum album(abietis),20mg(1ml),단일,248506BIJ,IJ,B,주사제,주사제,-,201.0,mg(ml)
248507BIJ,viscum album(abietis),2mg(1ml),단일,248507BIJ,IJ,B,주사제,주사제,-,21.0,mg(ml)
248508BIJ,viscum album(abietis),30mg(1ml),단일,248508BIJ,IJ,B,주사제,주사제,-,301.0,mg(ml)
248509BIJ,viscum album(abietis),50mg(1ml),단일,248509BIJ,IJ,B,주사제,주사제,-,501.0,mg(ml)
248510BIJ,viscum album(abietis),5mg(1ml),단일,248510BIJ,IJ,B,주사제,주사제,-,51.0,mg(ml)
248601BIJ,viscum album(mali),100mg(2ml),단일,248601BIJ,IJ,B,주사제,주사제,-,1002.0,mg(ml)
248602BIJ,viscum album(mali),10mg(1ml),단일,248602BIJ,IJ,B,주사제,주사제,-,101.0,mg(ml)
248603BIJ,viscum album(mali),1mg(1ml),단일,248603BIJ,IJ,B,주사제,주사제,-,11.0,mg(ml)
248604BIJ,viscum album(mali),200mcg(1ml),단일,248604BIJ,IJ,B,주사제,주사제,-,2001.0,mcg(ml)
248605BIJ,viscum album(mali),20mcg(1ml),단일,248605BIJ,IJ,B,주사제,주사제,-,201.0,mcg(ml)
248606BIJ,viscum album(mali),20mg(1ml),단일,248606BIJ,IJ,B,주사제,주사제,-,201.0,mg(ml)
248607BIJ,viscum album(mali),2mg(1ml),단일,248607BIJ,IJ,B,주사제,주사제,-,21.0,mg(ml)
248608BIJ,viscum album(mali),30mg(1ml),단일,248608BIJ,IJ,B,주사제,주사제,-,301.0,mg(ml)
248609BIJ,viscum album(mali),50mg(1ml),단일,248609BIJ,IJ,B,주사제,주사제,-,501.0,mg(ml)
248610BIJ,viscum album(mali),5mg(1ml),단일,248610BIJ,IJ,B,주사제,주사제,-,51.0,mg(ml)
248801BIJ,vitamin-K1,10mg,단일,248801BIJ,IJ,B,주사제,주사제,-,10.0,mg
249201BIJ,water for inj.,,단일,249201BIJ,IJ,B,주사제,주사제,-,,
249501BIJ,xylitol,5g/100ml,단일,249501BIJ,IJ,B,주사제,주사제,-,5100.0,g/ml
251001BIJ,β-aminomethl benzoic acid,50mg,단일,251001BIJ,IJ,B,주사제,주사제,-,50.0,mg
348301BIJ,methionyl somatropin,4I.U,단일,348301BIJ,IJ,B,주사제,주사제,-,4.0,IU
348402BIJ,somatropin,4I.U,단일,348402BIJ,IJ,B,주사제,주사제,-,4.0,IU
348403BIJ,somatropin,10I.U,단일,348403BIJ,IJ,B,주사제,주사제,-,10.0,IU
348404BIJ,somatropin,12I.U,단일,348404BIJ,IJ,B,주사제,주사제,-,12.0,IU
348405BIJ,somatropin,16I.U,단일,348405BIJ,IJ,B,주사제,주사제,-,16.0,IU
313500BIJ,sodium carbonate,30mg,복합,313500BIJ,IJ,B,주사제,주사제,-,30.0,mg
313500BIJ,thiopental sodium,500mg,복합,313500BIJ,IJ,B,주사제,주사제,-,500.0,mg
313700BIJ,bupivacaine HCl,2.5mg/1ml,복합,313700BIJ,IJ,B,주사제,주사제,-,2.51,mg/ml
313700BIJ,epinephrine bitartrate,9.1mg/1ml,복합,313700BIJ,IJ,B,주사제,주사제,-,9.11,mg/ml
313800BIJ,bupivacaine HCl,5mg/1ml,복합,313800BIJ,IJ,B,주사제,주사제,-,51.0,mg/ml
313800BIJ,epinephrine bitartrate,9.1mcg/1ml,복합,313800BIJ,IJ,B,주사제,주사제,-,9.11,mcg/ml
313900BIJ,bupivacaine HCl,100mg,복합,313900BIJ,IJ,B,주사제,주사제,-,100.0,mg
313900BIJ,epinephrine bitartrate,16.38mcg,복합,313900BIJ,IJ,B,주사제,주사제,-,16.38,mcg
314000BIJ,epinephrine,18mcg,복합,314000BIJ,IJ,B,주사제,주사제,-,18.0,mcg
314000BIJ,lidicaine HCl,36mg,복합,314000BIJ,IJ,B,주사제,주사제,-,36.0,mg
314100BIJ,epinephrine HCl,25.5mcg,복합,314100BIJ,IJ,B,주사제,주사제,-,25.5,mcg
314100BIJ,lidocaine HCl,34mg,복합,314100BIJ,IJ,B,주사제,주사제,-,34.0,mg
314200BIJ,epinephrine HCl,200mcg,복합,314200BIJ,IJ,B,주사제,주사제,-,200.0,mcg
314200BIJ,lidocaine HCl,400mg,복합,314200BIJ,IJ,B,주사제,주사제,-,400.0,mg
314300BIJ,epinephrine bitartrate,33mcg,복합,314300BIJ,IJ,B,주사제,주사제,-,33.0,mcg
314300BIJ,lidocaine HCl,36mg,복합,314300BIJ,IJ,B,주사제,주사제,-,36.0,mg
314400BIJ,epinephrine bitartrate,40mcg,복합,314400BIJ,IJ,B,주사제,주사제,-,40.0,mcg
314400BIJ,lidocaine HCl,44mg,복합,314400BIJ,IJ,B,주사제,주사제,-,44.0,mg
314500BIJ,epinephrine bitartrate,41mcg,복합,314500BIJ,IJ,B,주사제,주사제,-,41.0,mcg
314500BIJ,lidocaine HCl,36mg,복합,314500BIJ,IJ,B,주사제,주사제,-,36.0,mg
314600BIJ,epinephrine bitartrate,50mcg,복합,314600BIJ,IJ,B,주사제,주사제,-,50.0,mcg
314600BIJ,lidocaine HCl,44mg,복합,314600BIJ,IJ,B,주사제,주사제,-,44.0,mg
314700BIJ,caroverine HCl,40mg,복합,314700BIJ,IJ,B,주사제,주사제,-,40.0,mg
314700BIJ,sulpyrin,1g,복합,314700BIJ,IJ,B,주사제,주사제,-,1.0,g
314800BIJ,hyoscine butylbromide,20mg,복합,314800BIJ,IJ,B,주사제,주사제,-,20.0,mg
314800BIJ,sulpyrin,2.5g,복합,314800BIJ,IJ,B,주사제,주사제,-,2.5,g
314900BIJ,phloroglucinol,40mg,복합,314900BIJ,IJ,B,주사제,주사제,-,40.0,mg
314900BIJ,trimethylphloroglucinol,40mg,복합,314900BIJ,IJ,B,주사제,주사제,-,40.0,mg
315200BIJ,coumarin,1mg,복합,315200BIJ,IJ,B,주사제,주사제,-,1.0,mg
